Unnamed: 0_level_0,[111],[2119],[2217],[2315],[2413],[2511],[3118],[312116],[312214],[312312],[3124],[3215],[322113],[322211],[3312],[3321],[4117],[412115],[412213],[412311],[413114],[41312112],[413122],[413211],[4213],[422111],[4231],[5116],[512114],[512212],[5123],[513113],[51312111],[5132],[514112],[514121],[5211],[6115],[612113],[612211],[613112],[613121],[614111],[6151],[7114],[712112],[7122],[713111],[7141],[8113],[812111],[8131],[9112],[9121],[10111],[111]
s[612211],1100,160,-20,0,12,0,50,-20,-2,0,-6,-10,-2,-2,2,-2,20,0,4,0,2,0,-2,2,4,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
s[612113],924,84,-56,-16,4,-4,84,-6,4,2,4,9,3,1,-3,3,14,-6,2,-2,2,0,2,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0
s[6115],252,0,-28,0,12,0,42,0,2,0,-6,12,0,-4,0,0,0,-8,0,0,0,-2,0,0,-4,0,2,2,0,2,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
s[5211],330,78,22,2,2,-10,-6,6,-2,2,2,9,-3,1,-3,-3,-20,0,0,-4,4,0,0,1,2,-2,2,-10,-2,2,2,-1,1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0
s[514121],990,162,34,6,6,10,-42,0,-2,0,6,6,0,-2,0,0,-36,-4,0,0,0,2,0,0,-2,2,-2,-5,-3,-1,1,-2,0,1,-1,1,0,6,0,-2,0,0,0,1,3,1,-1,0,-1,0,0,0,0,0,0,0
s[514112],1155,147,7,-17,-5,-5,-21,9,-5,1,-5,9,-3,1,3,3,-35,5,1,1,1,-1,1,1,-1,-1,-1,-10,2,2,-2,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0
s[5132],660,84,16,8,-4,-20,-36,-6,4,2,-4,-3,3,1,3,3,-14,-6,-2,-2,-2,0,-2,1,0,0,0,5,-1,1,3,-1,-1,2,1,-1,0,5,-1,1,-1,-1,1,0,2,0,2,-1,0,0,0,0,0,0,0,0
s[51312111],2310,168,-14,4,-2,0,-63,-15,1,1,1,-6,0,-2,-3,-3,-14,4,-2,0,1,1,1,-2,-2,0,1,5,3,1,-1,2,0,-1,1,-1,0,4,-2,0,1,1,0,-1,0,0,0,0,0,-2,0,1,0,0,0,0
s[513113],1540,28,-56,-16,-4,20,28,10,4,2,-4,1,1,1,1,1,-14,6,-2,2,-2,0,-2,1,0,0,0,-5,3,-1,-1,-2,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0
s[5123],825,15,-15,15,9,15,-15,-15,-3,-3,9,0,0,0,6,6,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
